survived,pclass,sex,age,sibsp,parch,fare,embarked,class,deck,embark_town,alive,alone
0,3,0,23.5,0,0,7.2292,C,Third,,Cherbourg,no,True
0,1,1,2.0,1,2,151.55,S,First,C,Southampton,no,False
1,1,0,,0,0,30.5,S,First,C,Southampton,yes,True
1,1,1,50.0,0,1,247.5208,C,First,B,Cherbourg,yes,False
1,3,1,,0,0,7.75,Q,Third,,Queenstown,yes,True
1,3,0,,2,0,23.25,Q,Third,,Queenstown,yes,False
0,3,0,19.0,0,0,0.0,S,Third,,Southampton,no,True
1,2,1,,0,0,12.35,Q,Second,E,Queenstown,yes,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
1,1,0,0.92,1,2,151.55,S,First,C,Southampton,yes,False
1,1,1,,0,0,110.8833,C,First,,Cherbourg,yes,True
1,1,1,17.0,1,0,108.9,C,First,C,Cherbourg,yes,False
0,2,0,30.0,1,0,24.0,C,Second,,Cherbourg,no,False
1,1,1,30.0,0,0,56.9292,C,First,E,Cherbourg,yes,True
1,1,1,24.0,0,0,83.1583,C,First,C,Cherbourg,yes,True
1,1,1,18.0,2,2,262.375,C,First,B,Cherbourg,yes,False
0,2,1,26.0,1,1,26.0,S,Second,,Southampton,no,False
0,3,0,28.0,0,0,7.8958,S,Third,,Southampton,no,True
0,2,0,43.0,1,1,26.25,S,Second,,Southampton,no,False
1,3,1,26.0,0,0,7.8542,S,Third,,Southampton,yes,True
1,2,1,24.0,1,0,26.0,S,Second,,Southampton,yes,False
0,2,0,54.0,0,0,14.0,S,Second,,Southampton,no,True
1,1,1,31.0,0,2,164.8667,S,First,C,Southampton,yes,False
1,1,1,40.0,1,1,134.5,C,First,E,Cherbourg,yes,False
0,3,0,22.0,0,0,7.25,S,Third,,Southampton,no,True
0,3,0,27.0,0,0,7.8958,S,Third,,Southampton,no,True
1,2,1,30.0,0,0,12.35,Q,Second,,Queenstown,yes,True
1,2,1,22.0,1,1,29.0,S,Second,,Southampton,yes,False
0,3,0,,8,2,69.55,S,Third,,Southampton,no,False
1,1,1,36.0,0,0,135.6333,C,First,C,Cherbourg,yes,True
0,3,0,61.0,0,0,6.2375,S,Third,,Southampton,no,True
1,2,1,36.0,0,0,13.0,S,Second,D,Southampton,yes,True
1,3,1,31.0,1,1,20.525,S,Third,,Southampton,yes,False
1,1,1,16.0,0,1,57.9792,C,First,B,Cherbourg,yes,False
1,3,1,,2,0,23.25,Q,Third,,Queenstown,yes,False
0,1,0,45.5,0,0,28.5,S,First,C,Southampton,no,True
0,1,0,38.0,0,1,153.4625,S,First,C,Southampton,no,False
0,3,0,16.0,2,0,18.0,S,Third,,Southampton,no,False
1,1,1,,1,0,133.65,S,First,,Southampton,yes,False
0,3,0,,0,0,7.8958,S,Third,,Southampton,no,True
0,1,0,29.0,1,0,66.6,S,First,C,Southampton,no,False
1,1,1,41.0,0,0,134.5,C,First,E,Cherbourg,yes,True
1,3,0,45.0,0,0,8.05,S,Third,,Southampton,yes,True
0,1,0,45.0,0,0,35.5,S,First,,Southampton,no,True
1,2,0,2.0,1,1,26.0,S,Second,F,Southampton,yes,False
1,1,1,24.0,3,2,263.0,S,First,C,Southampton,yes,False
0,2,0,28.0,0,0,13.0,S,Second,,Southampton,no,True
0,2,0,25.0,0,0,13.0,S,Second,,Southampton,no,True
0,2,0,36.0,0,0,13.0,S,Second,,Southampton,no,True
1,2,1,24.0,0,0,13.0,S,Second,F,Southampton,yes,True
1,2,1,40.0,0,0,13.0,S,Second,,Southampton,yes,True
1,3,1,,1,0,16.1,S,Third,,Southampton,yes,False
1,3,0,3.0,1,1,15.9,S,Third,,Southampton,yes,False
0,3,0,42.0,0,0,8.6625,S,Third,,Southampton,no,True
0,3,0,23.0,0,0,9.225,S,Third,,Southampton,no,True
0,1,0,,0,0,35.0,S,First,C,Southampton,no,True
0,3,0,15.0,1,1,7.2292,C,Third,,Cherbourg,no,False
0,3,0,25.0,1,0,17.8,S,Third,,Southampton,no,False
0,3,0,,0,0,7.225,C,Third,,Cherbourg,no,True
0,3,0,28.0,0,0,9.5,S,Third,,Southampton,no,True
1,1,1,22.0,0,1,55.0,S,First,E,Southampton,yes,False
0,2,1,38.0,0,0,13.0,S,Second,,Southampton,no,True
1,3,1,,0,0,7.8792,Q,Third,,Queenstown,yes,True
1,3,1,,0,0,7.8792,Q,Third,,Queenstown,yes,True
0,3,0,40.0,1,4,27.9,S,Third,,Southampton,no,False
0,2,0,29.0,1,0,27.7208,C,Second,,Cherbourg,no,False
0,3,1,45.0,0,1,14.4542,C,Third,,Cherbourg,no,False
0,3,0,35.0,0,0,7.05,S,Third,,Southampton,no,True
0,3,0,,1,0,15.5,Q,Third,,Queenstown,no,False
0,3,0,30.0,0,0,7.25,S,Third,,Southampton,no,True
1,1,1,60.0,1,0,75.25,C,First,D,Cherbourg,yes,False
1,3,1,,0,0,7.2292,C,Third,,Cherbourg,yes,True
1,3,1,,0,0,7.75,Q,Third,,Queenstown,yes,True
1,1,1,24.0,0,0,69.3,C,First,B,Cherbourg,yes,True
1,1,0,25.0,1,0,55.4417,C,First,E,Cherbourg,yes,False
0,3,0,18.0,1,0,6.4958,S,Third,,Southampton,no,False
0,3,0,19.0,0,0,8.05,S,Third,,Southampton,no,True
0,1,0,22.0,0,0,135.6333,C,First,,Cherbourg,no,True
0,3,1,3.0,3,1,21.075,S,Third,,Southampton,no,False
1,1,1,,1,0,82.1708,C,First,,Cherbourg,yes,False
1,3,1,22.0,0,0,7.25,S,Third,,Southampton,yes,True
0,1,0,27.0,0,2,211.5,C,First,C,Cherbourg,no,False
0,3,0,20.0,0,0,4.0125,C,Third,,Cherbourg,no,True
0,3,0,19.0,0,0,7.775,S,Third,,Southampton,no,True
1,1,1,42.0,0,0,227.525,C,First,,Cherbourg,yes,True
1,3,1,1.0,0,2,15.7417,C,Third,,Cherbourg,yes,False
0,3,0,32.0,0,0,7.925,S,Third,,Southampton,no,True
1,1,1,35.0,1,0,52.0,S,First,,Southampton,yes,False
0,3,0,,0,0,7.8958,S,Third,,Southampton,no,True
0,2,0,18.0,0,0,73.5,S,Second,,Southampton,no,True
0,3,0,1.0,5,2,46.9,S,Third,,Southampton,no,False
1,2,1,36.0,0,0,13.0,S,Second,,Southampton,yes,True
0,3,0,,0,0,7.7292,Q,Third,,Queenstown,no,True
1,2,1,17.0,0,0,12.0,C,Second,,Cherbourg,yes,True
1,1,0,36.0,1,2,120.0,S,First,B,Southampton,yes,False
1,3,0,21.0,0,0,7.7958,S,Third,,Southampton,yes,True
0,3,0,28.0,2,0,7.925,S,Third,,Southampton,no,False
1,1,1,23.0,1,0,113.275,C,First,D,Cherbourg,yes,False
1,3,1,24.0,0,2,16.7,S,Third,G,Southampton,yes,False
0,3,0,22.0,0,0,7.7958,S,Third,,Southampton,no,True
0,3,1,31.0,0,0,7.8542,S,Third,,Southampton,no,True
0,2,0,46.0,0,0,26.0,S,Second,,Southampton,no,True
0,2,0,23.0,0,0,10.5,S,Second,,Southampton,no,True
1,2,1,28.0,0,0,12.65,S,Second,,Southampton,yes,True
1,3,0,39.0,0,0,7.925,S,Third,,Southampton,yes,True
0,3,0,26.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,1,21.0,1,0,9.825,S,Third,,Southampton,no,False
0,3,0,28.0,1,0,15.85,S,Third,,Southampton,no,False
0,3,1,20.0,0,0,8.6625,S,Third,,Southampton,no,True
0,2,0,34.0,1,0,21.0,S,Second,,Southampton,no,False
0,3,0,51.0,0,0,7.75,S,Third,,Southampton,no,True
1,2,0,3.0,1,1,18.75,S,Second,,Southampton,yes,False
0,3,0,21.0,0,0,7.775,S,Third,,Southampton,no,True
0,3,1,,3,1,25.4667,S,Third,,Southampton,no,False
0,3,0,,0,0,7.8958,S,Third,,Southampton,no,True
0,3,0,,0,0,6.8583,Q,Third,,Queenstown,no,True
1,1,1,33.0,1,0,90.0,Q,First,C,Queenstown,yes,False
0,2,0,,0,0,0.0,S,Second,,Southampton,no,True
1,3,0,44.0,0,0,7.925,S,Third,,Southampton,yes,True
0,3,1,,0,0,8.05,S,Third,,Southampton,no,True
1,2,1,34.0,1,1,32.5,S,Second,,Southampton,yes,False
1,2,1,18.0,0,2,13.0,S,Second,,Southampton,yes,False
0,2,0,30.0,0,0,13.0,S,Second,,Southampton,no,True
0,3,1,10.0,0,2,24.15,S,Third,,Southampton,no,False
0,3,0,,0,0,7.8958,C,Third,,Cherbourg,no,True
0,3,0,21.0,0,0,7.7333,Q,Third,,Queenstown,no,True
0,3,0,29.0,0,0,7.875,S,Third,,Southampton,no,True
0,3,1,28.0,1,1,14.4,S,Third,,Southampton,no,False
0,3,0,18.0,1,1,20.2125,S,Third,,Southampton,no,False
0,3,0,,0,0,7.25,S,Third,,Southampton,no,True
1,2,1,28.0,1,0,26.0,S,Second,,Southampton,yes,False
1,2,1,19.0,0,0,26.0,S,Second,,Southampton,yes,True
0,3,0,,0,0,7.75,Q,Third,,Queenstown,no,True
1,3,0,32.0,0,0,8.05,S,Third,E,Southampton,yes,True
1,1,0,28.0,0,0,26.55,S,First,C,Southampton,yes,True
1,3,1,,1,0,16.1,S,Third,,Southampton,yes,False
1,2,1,42.0,1,0,26.0,S,Second,,Southampton,yes,False
0,3,0,17.0,0,0,7.125,S,Third,,Southampton,no,True
0,1,0,50.0,1,0,55.9,S,First,E,Southampton,no,False
1,1,1,14.0,1,2,120.0,S,First,B,Southampton,yes,False
0,3,1,21.0,2,2,34.375,S,Third,,Southampton,no,False
1,2,1,24.0,2,3,18.75,S,Second,,Southampton,yes,False
0,1,0,64.0,1,4,263.0,S,First,C,Southampton,no,False
0,2,0,31.0,0,0,10.5,S,Second,,Southampton,no,True
1,2,1,45.0,1,1,26.25,S,Second,,Southampton,yes,False
0,3,0,20.0,0,0,9.5,S,Third,,Southampton,no,True
0,3,0,25.0,1,0,7.775,S,Third,,Southampton,no,False
1,2,1,28.0,0,0,13.0,S,Second,,Southampton,yes,True
1,3,0,,0,0,8.1125,S,Third,,Southampton,yes,True
1,1,0,4.0,0,2,81.8583,S,First,A,Southampton,yes,False
1,2,1,13.0,0,1,19.5,S,Second,,Southampton,yes,False
1,1,0,34.0,0,0,26.55,S,First,,Southampton,yes,True
1,3,1,5.0,2,1,19.2583,C,Third,,Cherbourg,yes,False
1,1,0,52.0,0,0,30.5,S,First,C,Southampton,yes,True
0,2,0,36.0,1,2,27.75,S,Second,,Southampton,no,False
0,3,0,,1,0,19.9667,S,Third,,Southampton,no,False
0,1,0,30.0,0,0,27.75,C,First,C,Cherbourg,no,True
1,1,0,49.0,1,0,89.1042,C,First,C,Cherbourg,yes,False
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
1,3,0,29.0,0,0,7.8958,C,Third,,Cherbourg,yes,True
0,1,0,65.0,0,0,26.55,S,First,E,Southampton,no,True
1,1,1,,1,0,51.8625,S,First,D,Southampton,yes,False
1,2,1,50.0,0,0,10.5,S,Second,,Southampton,yes,True
0,3,0,,0,0,7.75,Q,Third,,Queenstown,no,True
1,1,0,48.0,0,0,26.55,S,First,E,Southampton,yes,True
0,3,0,34.0,0,0,8.05,S,Third,,Southampton,no,True
0,1,0,47.0,0,0,38.5,S,First,E,Southampton,no,True
0,2,0,48.0,0,0,13.0,S,Second,,Southampton,no,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,38.0,0,0,7.05,S,Third,,Southampton,no,True
0,2,0,,0,0,0.0,S,Second,,Southampton,no,True
0,1,0,56.0,0,0,26.55,S,First,,Southampton,no,True
0,3,0,,0,0,7.725,Q,Third,,Queenstown,no,True
1,3,1,0.75,2,1,19.2583,C,Third,,Cherbourg,yes,False
0,3,0,,0,0,7.25,S,Third,,Southampton,no,True
0,3,0,38.0,0,0,8.6625,S,Third,,Southampton,no,True
1,2,1,33.0,1,2,27.75,S,Second,,Southampton,yes,False
1,2,1,23.0,0,0,13.7917,C,Second,D,Cherbourg,yes,True
0,3,1,22.0,0,0,9.8375,S,Third,,Southampton,no,True
0,1,0,,0,0,52.0,S,First,A,Southampton,no,True
0,2,0,34.0,1,0,21.0,S,Second,,Southampton,no,False
0,3,0,29.0,1,0,7.0458,S,Third,,Southampton,no,False
0,3,0,22.0,0,0,7.5208,S,Third,,Southampton,no,True
1,3,1,2.0,0,1,12.2875,S,Third,,Southampton,yes,False
0,3,0,9.0,5,2,46.9,S,Third,,Southampton,no,False
0,2,0,,0,0,0.0,S,Second,,Southampton,no,True
0,3,0,50.0,0,0,8.05,S,Third,,Southampton,no,True
1,3,1,63.0,0,0,9.5875,S,Third,,Southampton,yes,True
1,1,0,25.0,1,0,91.0792,C,First,B,Cherbourg,yes,False
0,3,1,,3,1,25.4667,S,Third,,Southampton,no,False
1,1,1,35.0,1,0,90.0,S,First,C,Southampton,yes,False
0,1,0,58.0,0,0,29.7,C,First,B,Cherbourg,no,True
0,3,0,30.0,0,0,8.05,S,Third,,Southampton,no,True
1,3,0,9.0,1,1,15.9,S,Third,,Southampton,yes,False
0,3,0,,1,0,19.9667,S,Third,,Southampton,no,False
0,3,0,21.0,0,0,7.25,S,Third,,Southampton,no,True
0,1,0,55.0,0,0,30.5,S,First,C,Southampton,no,True
0,1,0,71.0,0,0,49.5042,C,First,,Cherbourg,no,True
0,3,0,21.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,,0,0,14.4583,C,Third,,Cherbourg,no,True
1,1,1,54.0,1,0,78.2667,C,First,D,Cherbourg,yes,False
0,3,0,,0,0,15.1,S,Third,,Southampton,no,True
0,1,1,25.0,1,2,151.55,S,First,C,Southampton,no,False
0,3,0,24.0,0,0,7.7958,S,Third,,Southampton,no,True
0,3,0,17.0,0,0,8.6625,S,Third,,Southampton,no,True
0,3,1,21.0,0,0,7.75,Q,Third,,Queenstown,no,True
0,3,1,,0,0,7.6292,Q,Third,,Queenstown,no,True
0,3,1,37.0,0,0,9.5875,S,Third,,Southampton,no,True
1,1,1,16.0,0,0,86.5,S,First,B,Southampton,yes,True
0,1,0,18.0,1,0,108.9,C,First,C,Cherbourg,no,False
1,2,1,33.0,0,2,26.0,S,Second,,Southampton,yes,False
1,1,0,,0,0,26.55,S,First,,Southampton,yes,True
0,3,0,28.0,0,0,22.525,S,Third,,Southampton,no,True
1,3,0,26.0,0,0,56.4958,S,Third,,Southampton,yes,True
1,3,0,29.0,0,0,7.75,Q,Third,,Queenstown,yes,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
1,1,0,36.0,0,0,26.2875,S,First,E,Southampton,yes,True
1,1,1,54.0,1,0,59.4,C,First,,Cherbourg,yes,False
0,3,0,24.0,0,0,7.4958,S,Third,,Southampton,no,True
0,1,0,47.0,0,0,34.0208,S,First,D,Southampton,no,True
1,2,1,34.0,0,0,10.5,S,Second,F,Southampton,yes,True
0,3,0,,0,0,24.15,Q,Third,,Queenstown,no,True
1,2,1,36.0,1,0,26.0,S,Second,,Southampton,yes,False
0,3,0,32.0,0,0,7.8958,S,Third,,Southampton,no,True
1,1,1,30.0,0,0,93.5,S,First,B,Southampton,yes,True
0,3,0,22.0,0,0,7.8958,S,Third,,Southampton,no,True
0,3,0,,0,0,7.225,C,Third,,Cherbourg,no,True
1,1,1,44.0,0,1,57.9792,C,First,B,Cherbourg,yes,False
0,3,0,,0,0,7.2292,C,Third,,Cherbourg,no,True
0,3,0,40.5,0,0,7.75,Q,Third,,Queenstown,no,True
1,2,1,50.0,0,0,10.5,S,Second,,Southampton,yes,True
0,1,0,,0,0,221.7792,S,First,C,Southampton,no,True
0,3,0,39.0,0,0,7.925,S,Third,,Southampton,no,True
0,2,0,23.0,2,1,11.5,S,Second,,Southampton,no,False
1,2,1,2.0,1,1,26.0,S,Second,,Southampton,yes,False
0,3,0,,0,0,7.2292,C,Third,,Cherbourg,no,True
0,3,0,17.0,1,1,7.2292,C,Third,,Cherbourg,no,False
1,3,1,,0,2,22.3583,C,Third,,Cherbourg,yes,False
0,3,1,30.0,0,0,8.6625,S,Third,,Southampton,no,True
1,2,1,7.0,0,2,26.25,S,Second,,Southampton,yes,False
0,1,0,45.0,0,0,26.55,S,First,B,Southampton,no,True
1,1,1,30.0,0,0,106.425,C,First,,Cherbourg,yes,True
0,3,0,,0,0,14.5,S,Third,,Southampton,no,True
1,1,1,22.0,0,2,49.5,C,First,B,Cherbourg,yes,False
1,1,1,36.0,0,2,71.0,S,First,B,Southampton,yes,False
0,3,1,9.0,4,2,31.275,S,Third,,Southampton,no,False
0,3,1,11.0,4,2,31.275,S,Third,,Southampton,no,False
1,2,0,32.0,1,0,26.0,S,Second,,Southampton,yes,False
0,1,0,50.0,1,0,106.425,C,First,C,Cherbourg,no,False
0,1,0,64.0,0,0,26.0,S,First,,Southampton,no,True
1,2,1,19.0,1,0,26.0,S,Second,,Southampton,yes,False
1,2,0,,0,0,13.8625,C,Second,,Cherbourg,yes,True
0,3,0,33.0,1,1,20.525,S,Third,,Southampton,no,False
1,2,0,8.0,1,1,36.75,S,Second,,Southampton,yes,False
1,1,0,17.0,0,2,110.8833,C,First,C,Cherbourg,yes,False
0,2,0,27.0,0,0,26.0,S,Second,,Southampton,no,True
0,3,0,,0,0,7.8292,Q,Third,,Queenstown,no,True
1,3,0,22.0,0,0,7.225,C,Third,,Cherbourg,yes,True
1,3,1,22.0,0,0,7.775,S,Third,,Southampton,yes,True
0,1,0,62.0,0,0,26.55,S,First,,Southampton,no,True
1,1,1,48.0,1,0,39.6,C,First,A,Cherbourg,yes,False
0,1,0,,0,0,227.525,C,First,,Cherbourg,no,True
1,1,1,39.0,1,1,79.65,S,First,E,Southampton,yes,False
1,3,1,36.0,1,0,17.4,S,Third,,Southampton,yes,False
0,3,0,,0,0,7.75,Q,Third,,Queenstown,no,True
0,3,0,40.0,0,0,7.8958,S,Third,,Southampton,no,True
0,2,0,28.0,0,0,13.5,S,Second,,Southampton,no,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
0,3,1,,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,24.0,2,0,24.15,S,Third,,Southampton,no,False
0,3,0,19.0,0,0,7.8958,S,Third,,Southampton,no,True
0,3,1,29.0,0,4,21.075,S,Third,,Southampton,no,False
0,3,0,,0,0,7.2292,C,Third,,Cherbourg,no,True
1,3,0,32.0,0,0,7.8542,S,Third,,Southampton,yes,True
1,2,0,62.0,0,0,10.5,S,Second,,Southampton,yes,True
1,1,1,53.0,2,0,51.4792,S,First,C,Southampton,yes,False
1,1,0,36.0,0,0,26.3875,S,First,E,Southampton,yes,True
1,3,1,,0,0,7.75,Q,Third,,Queenstown,yes,True
0,3,0,16.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,19.0,0,0,14.5,S,Third,,Southampton,no,True
1,2,1,34.0,0,0,13.0,S,Second,,Southampton,yes,True
1,1,1,39.0,1,0,55.9,S,First,E,Southampton,yes,False
0,3,1,,1,0,14.4583,C,Third,,Cherbourg,no,False
1,3,0,32.0,0,0,7.925,S,Third,,Southampton,yes,True
1,2,1,25.0,1,1,30.0,S,Second,,Southampton,yes,False
1,1,1,39.0,1,1,110.8833,C,First,C,Cherbourg,yes,False
0,2,0,54.0,0,0,26.0,S,Second,,Southampton,no,True
0,1,0,36.0,0,0,40.125,C,First,A,Cherbourg,no,True
0,3,0,,0,0,8.7125,C,Third,,Cherbourg,no,True
1,1,1,18.0,0,2,79.65,S,First,E,Southampton,yes,False
0,2,0,47.0,0,0,15.0,S,Second,,Southampton,no,True
1,1,0,60.0,1,1,79.2,C,First,B,Cherbourg,yes,False
0,3,0,22.0,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,,0,0,8.05,S,Third,,Southampton,no,True
0,3,0,35.0,0,0,7.125,S,Third,,Southampton,no,True
1,1,1,52.0,1,0,78.2667,C,First,D,Cherbourg,yes,False
0,3,0,47.0,0,0,7.25,S,Third,,Southampton,no,True
